,121,123,231,213,212,1234,1213,1232,2134,2132,1212,2313,2312,121S,123S,231S,213S,212S,1234S,1213S,1232S,2134S,2132S,1212S,2313S,2312S,12S,21S,23S
49872,1,31,50,45,13,12,6,2,19,3,4,6,3,0,1,5,1,1,1,4,0,1,0,0,0,1,7,15,7
7919,1,40,28,24,1,18,6,8,10,1,0,2,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,0,1
10131,1,14,34,14,1,7,0,3,8,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
77546,1,25,13,23,1,11,2,4,6,1,0,2,2,0,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0
8245,1,36,25,30,5,11,6,5,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
8239,1,25,26,16,4,6,2,1,11,1,0,3,2,2,1,2,2,1,1,0,0,3,0,0,0,0,2,1,1
8143,1,37,15,27,7,18,2,7,24,3,2,5,4,0,2,3,1,0,5,0,0,0,0,0,0,0,0,1,1
56,0,4,1,3,2,3,0,2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8731,1,25,12,17,0,14,2,2,7,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,1,0,2
77548,1,70,30,50,8,32,12,4,29,0,0,0,1,0,4,6,1,0,3,2,0,3,0,0,1,0,10,4,3
8094,0,9,30,18,1,4,0,3,7,2,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
5911,1,9,11,4,6,7,0,0,3,0,0,2,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,5
15054,1,8,25,24,1,7,2,0,8,2,2,2,2,0,0,3,3,0,1,0,0,3,0,0,0,0,0,4,9
9532,0,4,2,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
340,1,25,19,26,12,17,4,1,16,1,0,3,2,0,2,1,1,0,2,0,0,2,0,2,0,0,2,2,0
353236,1,20,22,18,9,14,2,2,16,1,2,2,1,0,2,1,1,0,1,0,0,1,0,0,1,0,2,0,5
15198,1,21,20,26,8,9,0,1,11,1,4,3,2,0,0,3,2,0,0,0,1,0,0,0,0,0,4,5,9
92922,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8747,1,9,20,11,3,3,2,0,5,1,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,4,1,2
265318,1,13,10,9,3,3,0,1,6,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,2,0
26499,1,19,21,27,6,6,0,1,14,1,0,9,1,0,1,2,3,1,0,0,0,1,0,0,0,0,6,4,1
20620,1,25,24,20,2,11,6,4,19,3,0,0,1,4,3,0,1,0,2,0,1,0,0,0,0,1,3,0,2
8561,1,40,29,56,9,18,6,6,28,3,2,10,0,0,2,2,2,2,1,2,0,2,0,0,0,1,6,3,1
21100,1,39,13,13,2,18,6,6,14,2,0,1,3,0,1,2,0,0,1,0,1,1,0,0,0,0,4,2,2
7938,1,34,33,39,9,21,10,6,15,6,0,6,1,2,4,1,2,0,0,0,0,1,1,2,1,0,1,5,2
105338,1,21,31,32,8,9,8,2,8,5,4,3,1,0,1,2,3,1,1,0,0,3,0,0,0,0,2,7,3
7936,1,21,42,30,14,16,8,5,21,1,0,7,1,0,1,5,4,0,4,6,2,1,0,0,1,0,1,9,7
25572,1,18,18,20,4,4,8,1,6,5,0,3,1,0,2,3,2,0,1,0,0,0,0,0,1,0,3,5,2
8313,1,36,36,41,8,17,4,7,17,4,2,6,3,0,4,2,1,0,0,2,1,2,0,0,0,0,1,3,0
14703,1,16,35,16,5,4,0,3,1,2,6,3,1,0,0,4,1,0,0,0,0,0,0,0,1,0,2,7,8
256998,1,20,8,6,1,2,2,3,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
38,1,6,4,0,1,4,2,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0
7918,1,33,15,26,2,18,8,4,12,2,0,3,2,0,3,0,1,0,1,0,1,0,0,0,0,0,2,0,0
397178,1,7,25,14,10,5,4,0,1,0,0,5,2,0,0,1,3,1,1,0,0,0,0,0,0,0,1,0,1
70122,1,73,37,48,9,36,12,8,40,2,0,7,4,0,7,2,2,1,0,0,0,5,0,0,0,0,11,5,2
7906,1,28,26,34,6,8,8,1,11,4,2,4,4,2,3,2,2,1,0,0,1,2,0,2,0,0,3,3,1
7910,0,7,28,13,2,6,0,5,12,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
