,Player,121,123,231,213,212,1234,1213,1232,2134,2132,1212,2313,2312,121S,123S,231S,213S,212S,1234S,1213S,1232S,2134S,2132S,1212S,2313S,2312S,12S,21S,23S,Age,MP,Goals,Assists,xGp90,xAp90,ChCr,YC,RC,Tackles,Pressures,Position,Value
1337,Ihlas Bebou,1,16,29,17,8,4,2,0,12,2,0,2,1,4,0,1,4,0,1,0,0,1,0,0,1,0,1,10,6,25.0,32.0,6.0,1.0,0.18,0.14,58.0,1.0,0.0,26.0,366.0,attack - Centre-Forward,7650000.0
1340,Julian Weigl,1,36,18,32,7,13,2,8,21,2,4,2,2,0,6,0,1,0,3,0,1,1,0,0,0,0,4,1,0,23.0,13.0,1.0,0.0,0.02,0.02,9.0,4.0,0.0,21.0,176.0,midfield - Defensive Midfield,27000000.0
1343,Ondrej Duda,1,9,12,17,4,11,10,2,2,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,24.0,7.0,0.0,1.0,0.1,0.1,17.0,2.0,0.0,5.0,116.0,midfield - Attacking Midfield,2700000.0
1344,Ishak Belfodil,1,9,18,15,2,2,4,1,7,0,0,1,0,0,0,2,5,0,0,0,1,0,0,0,0,0,2,4,3,27.0,5.0,0.0,0.0,0.36,0.08,11.0,0.0,0.0,1.0,13.0,attack - Centre-Forward,4950000.0
1346,Breel-Donald Embolo,1,9,12,10,4,3,0,0,4,0,0,1,0,0,1,2,1,0,2,0,0,1,0,0,0,0,3,1,3,22.0,28.0,8.0,5.0,0.51,0.28,56.0,4.0,0.0,23.0,395.0,attack - Centre-Forward,16200000.0
1348,Panagiotis Retsos,1,49,16,24,7,13,8,3,9,4,0,1,2,0,1,0,1,0,1,0,0,2,0,0,0,0,2,1,1,20.0,3.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,5.0,23.0,Defender - Centre-Back,16200000.0
1349,Kai Havertz,1,23,29,44,7,14,10,0,19,4,2,2,3,0,1,6,4,0,1,0,0,0,1,2,0,0,5,3,2,20.0,30.0,12.0,6.0,0.33,0.22,117.0,3.0,0.0,26.0,335.0,midfield - Attacking Midfield,25200000.0
1350,Lars Bender,1,31,19,19,8,12,4,3,6,1,2,3,4,0,1,2,0,0,2,0,0,0,0,0,0,1,2,2,3,30.0,18.0,2.0,1.0,0.05,0.07,28.0,3.0,0.0,48.0,297.0,midfield - Defensive Midfield,11700000.0
1353,Julian Baumgartlinger,1,52,10,30,7,16,10,4,15,2,0,1,3,0,2,1,1,0,1,2,0,0,0,0,0,0,2,0,0,31.0,27.0,2.0,2.0,0.1,0.09,32.0,4.0,0.0,43.0,434.0,midfield - Defensive Midfield,3600000.0
1359,Marius Wolf,1,20,36,26,12,13,10,1,13,2,0,1,3,2,0,4,3,0,0,0,0,0,0,0,0,0,6,1,6,24.0,21.0,1.0,3.0,0.07,0.11,33.0,2.0,1.0,19.0,320.0,attack - Right Winger,9000000.0
1363,Benno Schmitz,0,1,3,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24.0,18.0,0.0,0.0,0.01,0.08,25.0,1.0,0.0,31.0,208.0,Defender - Right-Back,900000.0
1365,Yvon Landry  Mvogo,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,2700000.0
1366,Jairo Samperio Bustara,0,4,6,5,0,1,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,24.0,11.0,0.0,0.0,0.09,0.06,9.0,1.0,0.0,10.0,97.0,attack - Left Winger,1350000.0
1368,Gian-Luca Itter,1,5,7,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,Defender - Left-Back,1800000.0
1369,Fabian Johnson,0,2,12,3,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31.0,6.0,0.0,0.0,0.0,0.05,2.0,0.0,0.0,4.0,63.0,attack - Left Winger,4050000.0
1370,Niklas Moisander,1,39,30,36,7,25,14,6,22,4,2,5,1,0,3,0,2,0,1,0,0,0,0,0,0,0,1,1,1,33.0,22.0,0.0,0.0,0.08,0.01,22.0,5.0,1.0,37.0,221.0,Defender - Centre-Back,2250000.0
1371,Lucas Nicolas Alario,0,11,15,18,0,6,2,0,5,2,2,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,3,26.0,24.0,7.0,1.0,0.53,0.17,29.0,6.0,0.0,7.0,185.0,attack - Centre-Forward,18000000.0
1375,Claudio Miguel Pizarro Bossio,1,1,10,6,1,6,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,3,1,2,40.0,18.0,0.0,0.0,0.16,0.25,9.0,0.0,0.0,3.0,34.0,attack - Centre-Forward,450000.0
1379,Raul Marcelo Bobadilla,0,2,2,4,3,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,29.0,28.0,2.0,6.0,0.06,0.26,117.0,3.0,1.0,46.0,342.0,Defender - Centre-Back,8100000.0
1381,Daniel Ginczek,1,11,12,15,6,6,0,0,8,1,0,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,5,28.0,18.0,3.0,1.0,0.4,0.17,20.0,2.0,0.0,5.0,121.0,attack - Centre-Forward,3150000.0
1390,Karim Onisiwo,1,2,3,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,27.0,32.0,4.0,6.0,0.21,0.21,58.0,3.0,0.0,22.0,427.0,attack - Centre-Forward,450000.0
1391,Stefan Posch,1,13,7,8,1,11,0,3,6,3,0,2,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,22.0,28.0,0.0,0.0,0.08,0.03,23.0,9.0,0.0,84.0,342.0,Defender - Centre-Back,2250000.0
1393,Davie Selke,0,8,27,13,3,4,0,1,5,1,0,2,0,0,0,3,1,0,0,0,0,1,0,0,0,0,1,2,4,24.0,11.0,0.0,0.0,0.24,0.05,8.0,3.0,0.0,4.0,117.0,attack - Centre-Forward,10800000.0
1396,Aymen Barkok,1,3,4,6,2,1,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,midfield - Attacking Midfield,1800000.0
1399,Arne Maier,1,19,15,18,4,10,6,3,11,1,6,3,3,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,20.0,14.0,0.0,0.0,0.04,0.1,19.0,0.0,0.0,8.0,127.0,midfield - Central Midfield,6750000.0
1400,Robin Koch,1,31,22,24,3,24,12,4,18,3,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23.0,32.0,1.0,0.0,0.09,0.05,31.0,3.0,0.0,41.0,270.0,Defender - Centre-Back,6300000.0
1401,Jorge Andujar Moreno,1,23,23,16,5,10,4,3,7,2,2,3,1,0,0,1,3,0,0,0,0,1,0,0,0,1,3,1,3,21.0,22.0,1.0,2.0,0.01,0.1,36.0,8.0,0.0,58.0,295.0,Defender - Left-Back,10800000.0
1403,Kevin Akpoguma,1,33,18,25,1,14,4,8,20,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,2,1,0,24.0,18.0,0.0,0.0,0.01,0.0,4.0,2.0,0.0,27.0,169.0,Defender - Centre-Back,7200000.0
1404,Tony Jantschke,1,8,19,10,0,6,2,3,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,29.0,17.0,0.0,0.0,0.05,0.08,12.0,6.0,0.0,39.0,129.0,Defender - Centre-Back,3150000.0
1405,Vincenzo Grifo,1,7,15,12,3,2,2,1,3,1,0,1,0,2,1,1,1,0,1,0,0,0,0,0,0,0,1,2,3,26.0,26.0,4.0,8.0,0.17,0.26,74.0,1.0,1.0,18.0,232.0,attack - Left Winger,6750000.0
1406,John Anthony Brooks,1,6,7,12,1,4,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26.0,25.0,0.0,1.0,0.06,0.02,14.0,4.0,0.0,41.0,217.0,Defender - Centre-Back,9000000.0
1407,Robin Zentner,1,13,10,7,4,2,0,3,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,24.0,22.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,Goalkeeper,540000.0
1413,Jadon Sancho,0,4,14,7,4,6,0,0,2,1,0,0,3,0,2,4,2,0,0,0,0,0,0,0,1,0,2,3,1,19.0,32.0,17.0,16.0,0.36,0.35,125.0,2.0,0.0,17.0,412.0,attack - Left Winger,13500000.0
1422,Gerrit Holtmann,1,9,16,9,5,5,2,0,0,3,0,1,0,0,1,3,2,0,0,0,0,0,0,0,0,0,3,1,5,24.0,24.0,1.0,0.0,0.08,0.11,19.0,1.0,1.0,18.0,240.0,attack - Left Winger,1800000.0
1428,Alexander Hack,1,33,14,14,3,10,4,2,7,2,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,1,2,0,28.0,13.0,2.0,2.0,0.2,0.2,27.0,1.0,0.0,14.0,164.0,Defender - Centre-Back,2700000.0
1430,Marco Friedl,1,5,7,12,2,7,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,21.0,27.0,1.0,3.0,0.05,0.08,36.0,9.0,0.0,69.0,370.0,Defender - Centre-Back,1350000.0
1433,Noah-Joel Sarenren-Bazee,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,10.0,1.0,0.0,0.11,0.08,7.0,1.0,0.0,2.0,75.0,attack - Right Winger,1350000.0
1434,Jordan Torunarigha,1,9,14,7,2,9,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,21.0,18.0,1.0,1.0,0.03,0.03,11.0,3.0,0.0,31.0,215.0,Defender - Centre-Back,3600000.0
1435,Reece Oxford,1,10,5,6,0,2,2,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20.0,12.0,0.0,0.0,0.02,0.0,3.0,0.0,0.0,8.0,60.0,Defender - Centre-Back,4500000.0
1437,Jeffrey  Bruma,1,24,7,15,2,12,6,2,6,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,9.0,0.0,0.0,0.13,0.0,1.0,1.0,0.0,7.0,93.0,attack - Left Winger,11250000.0
1440,Alexander Isak,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,13.0,2.0,2.0,0.2,0.2,27.0,1.0,0.0,14.0,164.0,attack - Centre-Forward,5400000.0
1441,Renato Steffen,0,8,5,7,0,3,4,0,5,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,27.0,27.0,6.0,3.0,0.25,0.15,47.0,6.0,0.0,27.0,397.0,attack - Right Winger,3150000.0
1444,Omar Mascarell Gonzalez,1,18,12,17,1,3,0,4,6,2,0,2,0,0,2,2,3,0,0,0,0,0,0,0,0,0,2,1,0,26.0,23.0,0.0,1.0,0.02,0.05,17.0,4.0,0.0,66.0,444.0,midfield - Defensive Midfield,7200000.0
1445,Manuel Gulde,1,36,18,21,3,15,8,2,9,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,28.0,17.0,1.0,0.0,0.07,0.01,17.0,0.0,0.0,30.0,130.0,Defender - Centre-Back,2250000.0
1450,Thomas Kraft,0,1,3,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,attack - Left Winger,270000.0
1452,Anthony Ujah,0,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,28.0,24.0,3.0,2.0,0.22,0.07,17.0,0.0,0.0,8.0,169.0,attack - Centre-Forward,1800000.0
1456,Jacob Bruun Larsen,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.0,11.0,0.0,1.0,0.07,0.29,23.0,0.0,0.0,6.0,69.0,attack - Left Winger,450000.0
1457,Robert Zulj,1,2,3,2,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22.0,25.0,0.0,0.0,0.02,0.0,8.0,4.0,0.0,28.0,186.0,midfield - Attacking Midfield,900000.0
1458,Milot Rashica,0,3,11,5,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,23.0,28.0,8.0,5.0,0.25,0.12,86.0,2.0,0.0,24.0,456.0,attack - Right Winger,6300000.0
1460,Marco Richter,0,3,9,2,2,2,0,1,2,1,2,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,21.0,31.0,4.0,3.0,0.17,0.08,56.0,2.0,0.0,24.0,464.0,attack - Right Winger,900000.0
1461,Marco Reus,1,8,11,14,5,4,2,0,1,2,2,3,0,0,1,1,1,0,1,0,0,1,0,2,0,0,1,2,3,30.0,19.0,11.0,5.0,0.57,0.15,53.0,1.0,0.0,32.0,442.0,midfield - Attacking Midfield,36000000.0
1462,Manuel Akanji,1,23,8,13,1,13,4,3,5,2,2,2,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,24.0,29.0,0.0,1.0,0.03,0.03,10.0,2.0,0.0,44.0,223.0,Defender - Centre-Back,25200000.0
1463,Tin Jedvaj,1,11,9,11,3,3,4,0,3,1,0,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,23.0,31.0,2.0,0.0,0.05,0.01,17.0,6.0,0.0,47.0,302.0,Defender - Centre-Back,4500000.0
1469,Pablo Insua Blanco,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,15.0,0.0,3.0,0.04,0.04,8.0,3.0,0.0,19.0,57.0,Defender - Centre-Back,2700000.0
