,Player,121,123,231,213,212,1234,1213,1232,2134,2132,1212,2313,2312,121S,123S,231S,213S,212S,1234S,1213S,1232S,2134S,2132S,1212S,2313S,2312S,12S,21S,23S,Age,MP,Goals,Assists,xGp90,xAp90,ChCr,YC,RC,Tackles,Pressures,Position,Value
376,Fernando Llorente Torres,0,1,3,2,0,2,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,33.0,27.0,5.0,0.0,0.44,0.02,17.0,2.0,0.0,8.0,165.0,midfield - Defensive Midfield,13500000.0
377,Lewis Cook,1,27,36,50,12,20,12,6,15,3,0,3,3,0,5,2,3,1,2,0,2,2,1,0,0,0,9,4,1,20.0,29.0,0.0,2.0,0.02,0.05,52.0,5.0,0.0,72.0,430.0,midfield - Central Midfield,18000000.0
378,Vicente Iborra De La Fuente,1,17,16,26,9,10,20,4,13,1,0,2,3,0,3,0,3,0,0,0,0,3,0,0,0,0,5,1,0,29.0,19.0,3.0,0.0,0.09,0.02,20.0,0.0,0.0,24.0,296.0,midfield - Central Midfield,9000000.0
380,Theo  Walcott,1,12,9,14,1,3,2,1,1,2,2,1,2,0,2,3,1,0,0,0,0,0,0,0,0,0,4,3,4,28.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,attack - Right Winger,18000000.0
381,Matias Ezequiel Schelotto,1,15,11,20,6,4,0,2,7,1,4,2,3,0,2,1,1,0,2,0,0,0,0,0,1,0,0,1,0,28.0,20.0,0.0,0.0,0.05,0.05,13.0,3.0,0.0,25.0,170.0,Defender - Right-Back,4050000.0
382,Dean Whitehead,0,3,0,1,0,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,midfield - Central Midfield,225000.0
383,Chris Smalling,1,36,14,19,1,15,6,4,11,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,27.0,29.0,4.0,0.0,0.09,0.01,8.0,4.0,0.0,43.0,271.0,Defender - Centre-Back,16200000.0
384,Damien Delaney,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,Defender - Centre-Back,900000.0
385,Freddie Ladapo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,midfield - Central Midfield,28800000.0
387,Diafra Sakho,1,6,7,10,2,2,2,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,6,27.0,13.0,2.0,0.0,0.58,0.03,11.0,1.0,0.0,3.0,216.0,attack - Centre-Forward,4500000.0
390,Nacer Chadli,1,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,27.0,5.0,1.0,0.0,0.06,0.04,4.0,1.0,0.0,1.0,29.0,attack - Left Winger,13500000.0
394,Per Mertesacker,0,10,1,3,1,5,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,32.0,6.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,2.0,24.0,Defender - Centre-Back,900000.0
395,Jack Wilshere,1,25,19,29,4,10,4,1,8,1,0,2,0,0,3,5,4,0,1,0,0,1,0,0,0,0,3,1,2,25.0,20.0,1.0,3.0,0.08,0.2,44.0,6.0,0.0,18.0,223.0,midfield - Central Midfield,18000000.0
396,Ademola Lookman,1,6,10,8,4,5,0,1,7,0,2,2,0,0,0,1,1,0,0,2,0,1,0,0,0,0,1,1,1,21.0,11.0,0.0,0.0,0.29,0.14,13.0,0.0,0.0,8.0,68.0,attack - Left Winger,10800000.0
400,Nathan Dyer,1,17,17,20,12,8,8,1,10,1,0,5,2,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,1,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender - Right-Back,900000.0
402,Callum Wilson,1,15,15,15,4,3,0,1,5,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,1,0,2,5,13,25.0,28.0,8.0,2.0,0.39,0.09,44.0,0.0,0.0,13.0,422.0,attack - Centre-Forward,9000000.0
403,Danny Drinkwater,1,6,9,5,2,5,0,1,3,2,2,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,27.0,12.0,1.0,0.0,0.03,0.04,10.0,0.0,0.0,16.0,151.0,midfield - Central Midfield,18000000.0
404,Beni Baningime,1,3,1,5,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12.0,77.0,midfield - Central Midfield,2700000.0
405,Florent Hadergjonaj,1,16,33,34,10,5,6,3,4,3,4,4,3,0,2,5,4,1,1,0,0,1,0,0,0,0,0,7,1,23.0,23.0,0.0,1.0,0.02,0.09,34.0,3.0,0.0,26.0,250.0,Defender - Right-Back,4500000.0
406,Will Hughes,0,6,15,9,2,4,0,1,5,1,0,3,2,0,0,2,1,0,0,0,0,1,1,0,0,0,3,3,1,22.0,15.0,2.0,3.0,0.07,0.14,32.0,0.0,0.0,35.0,277.0,midfield - Central Midfield,9000000.0
407,Charlie Adam,1,3,10,7,0,3,0,0,5,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3,0,31.0,11.0,0.0,0.0,0.26,0.24,19.0,2.0,1.0,10.0,83.0,midfield - Central Midfield,2250000.0
410,Danny Rose,1,7,16,14,2,3,0,0,3,0,0,2,0,0,1,1,1,0,2,0,0,1,0,2,0,0,2,4,2,27.0,10.0,0.0,1.0,0.09,0.09,24.0,4.0,0.0,19.0,93.0,Defender - Left-Back,27000000.0
411,Paulo Dino Gazzaniga,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Goalkeeper,900000.0
412,Lee Grant,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Goalkeeper,900000.0
413,Eliaquim Mangala,0,11,6,3,0,7,0,0,5,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,26.0,9.0,0.0,0.0,0.04,0.0,1.0,0.0,0.0,7.0,31.0,Defender - Centre-Back,13500000.0
414,Rolando Aarons,0,8,5,8,1,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,31.0,31.0,1.0,0.0,0.07,0.0,7.0,5.0,0.0,44.0,131.0,Defender - Centre-Back,675000.0
416,Marvin  Zeegelaar,1,16,11,16,1,10,2,0,5,0,2,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,26.0,12.0,0.0,1.0,0.0,0.07,9.0,4.0,1.0,29.0,154.0,Defender - Left-Back,2700000.0
417,Phil Bardsley,1,11,16,15,0,9,4,2,10,3,2,1,1,0,0,1,0,1,0,4,0,0,0,0,0,0,2,3,0,32.0,13.0,0.0,0.0,0.0,0.07,17.0,5.0,0.0,31.0,209.0,Defender - Right-Back,1350000.0
419,Faustino Marcos Alberto Rojo,1,5,4,2,0,3,2,1,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,27.0,9.0,0.0,0.0,0.02,0.0,4.0,6.0,0.0,9.0,86.0,Defender - Centre-Back,16200000.0
420,Karl Darlow,0,3,8,6,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,Goalkeeper,4050000.0
423,Kevin Long,1,17,14,12,1,12,6,2,5,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,26.0,16.0,1.0,2.0,0.05,0.05,8.0,1.0,0.0,31.0,173.0,Defender - Centre-Back,2250000.0
424,Danny Ings,0,3,2,4,2,1,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,25.0,8.0,1.0,0.0,0.49,0.06,6.0,0.0,0.0,4.0,52.0,attack - Centre-Forward,7200000.0
425,Jose Leonardo Ulloa,1,2,8,7,0,1,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,31.0,10.0,1.0,0.0,0.15,0.09,8.0,0.0,0.0,4.0,104.0,Defender - Centre-Back,180000.0
426,Charlie Taylor,1,13,20,12,0,6,4,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,23.0,11.0,0.0,0.0,0.0,0.03,13.0,3.0,0.0,18.0,86.0,Defender - Left-Back,4500000.0
428,Oleksandr Zinchenko,0,9,9,6,5,9,0,0,4,0,0,1,1,2,0,0,0,1,2,0,0,1,0,0,0,0,1,0,1,20.0,8.0,0.0,0.0,0.02,0.06,14.0,1.0,0.0,22.0,77.0,Defender - Left-Back,6300000.0
429,Ainsley Maitland-Niles,1,11,13,13,3,5,0,2,6,1,0,1,1,0,2,0,1,0,0,0,0,1,0,0,0,1,0,2,0,19.0,15.0,0.0,0.0,0.03,0.09,12.0,1.0,0.0,38.0,214.0,midfield - Right Midfield,6300000.0
430,Luke Shaw,1,12,5,12,2,6,2,1,4,2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,1,22.0,11.0,0.0,0.0,0.04,0.04,21.0,2.0,0.0,17.0,116.0,Defender - Left-Back,13500000.0
432,Beram Kayal,1,13,2,11,5,3,0,0,5,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,29.0,19.0,0.0,0.0,0.06,0.08,15.0,2.0,0.0,31.0,257.0,midfield - Central Midfield,1350000.0
433,Adam Lallana,1,6,4,5,2,0,0,0,3,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,1,0,29.0,12.0,0.0,0.0,0.51,0.14,15.0,1.0,0.0,4.0,56.0,midfield - Attacking Midfield,22500000.0
435,Connor Goldson,0,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24.0,3.0,0.0,0.0,0.09,0.0,0.0,1.0,0.0,5.0,16.0,Defender - Centre-Back,900000.0
436,Jerome Sinclair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20.0,4.0,0.0,0.0,0.0,0.16,1.0,0.0,0.0,0.0,10.0,attack - Centre-Forward,1350000.0
437,Nahki Wells,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27.0,9.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,2.0,16.0,attack - Centre-Forward,4050000.0
441,Henri Saivet,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26.0,1.0,1.0,0.0,0.03,0.0,1.0,0.0,0.0,6.0,18.0,midfield - Attacking Midfield,1800000.0
442,Calum Chambers,1,14,12,10,2,9,2,1,4,1,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,22.0,12.0,0.0,0.0,0.1,0.01,8.0,1.0,0.0,18.0,89.0,Defender - Centre-Back,12600000.0
444,Yannick Bolasie Yala,1,7,10,6,2,4,0,0,1,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,5,28.0,16.0,1.0,0.0,0.13,0.05,10.0,0.0,0.0,13.0,147.0,attack - Left Winger,16200000.0
447,Alex  Pritchard,1,12,14,18,3,5,2,0,6,1,4,2,2,2,2,0,0,0,0,0,0,0,0,0,3,0,1,4,1,24.0,14.0,1.0,1.0,0.1,0.17,36.0,1.0,0.0,22.0,219.0,midfield - Attacking Midfield,9000000.0
448,Terence Kongolo,1,21,16,12,5,9,4,1,6,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,23.0,3.0,0.0,0.0,0.04,0.12,3.0,0.0,0.0,6.0,24.0,Defender - Centre-Back,9000000.0
449,Stephen  Ireland,0,3,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,30.0,4.0,0.0,0.0,0.28,0.02,2.0,1.0,0.0,1.0,37.0,midfield - Attacking Midfield,900000.0
450,Moritz Bauer,1,7,18,15,2,7,4,0,1,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,3,1,25.0,15.0,0.0,0.0,0.02,0.07,19.0,4.0,0.0,30.0,246.0,Defender - Right-Back,4500000.0
451,Connor Roberts,1,3,5,4,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,22.0,25.0,0.0,0.0,0.02,0.0,8.0,4.0,0.0,28.0,186.0,Defender - Right-Back,900000.0
452,Cenk Tosun,1,6,13,7,1,2,0,1,4,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,2,4,2,26.0,14.0,5.0,0.0,0.25,0.14,25.0,0.0,0.0,4.0,213.0,attack - Centre-Forward,20700000.0
453,Sam Baldock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,attack - Centre-Forward,2700000.0
456,Orestis Karnezis,1,1,10,3,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,Goalkeeper,2700000.0
457,Adrien Sebastian Perruchet Silva,1,12,16,12,5,4,0,2,8,0,0,1,1,0,2,2,3,0,2,0,0,1,0,0,0,0,2,3,0,28.0,12.0,0.0,1.0,0.04,0.1,15.0,3.0,0.0,23.0,223.0,midfield - Central Midfield,18000000.0
458,Michel Vorm,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,28.0,0.0,1.0,0.01,0.07,32.0,5.0,1.0,31.0,180.0,Goalkeeper,2250000.0
460,Sam Byram,1,2,3,0,0,1,0,0,2,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23.0,5.0,0.0,0.0,0.17,0.08,3.0,1.0,0.0,8.0,60.0,Defender - Right-Back,3600000.0
461,Ross Barkley,0,0,1,3,0,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,23.0,2.0,0.0,0.0,0.33,0.07,6.0,0.0,0.0,0.0,12.0,midfield - Central Midfield,22500000.0
465,Robert Kenedy Nunes do Nascimento,1,10,10,15,2,3,0,0,3,0,4,1,1,0,0,2,0,1,1,0,0,2,0,0,1,0,0,3,3,22.0,25.0,0.0,0.0,0.02,0.0,8.0,4.0,0.0,28.0,186.0,midfield - Left Midfield,9000000.0
466,Guido Marcelo Carrillo,0,6,5,5,3,4,0,1,5,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0,2,29.0,28.0,2.0,6.0,0.06,0.26,117.0,3.0,1.0,46.0,342.0,attack - Centre-Forward,13500000.0
467,Aymeric  Laporte,1,48,33,34,5,20,16,8,15,6,0,4,1,0,2,1,0,0,1,0,0,1,1,0,1,0,3,0,0,23.0,19.0,0.0,1.0,0.03,0.03,10.0,5.0,0.0,41.0,149.0,Defender - Centre-Back,45000000.0
469,Gerard Deulofeu Lazaro,1,7,16,7,2,2,2,1,6,1,2,1,0,0,2,1,0,0,0,2,0,0,0,0,1,0,0,2,0,23.0,10.0,1.0,1.0,0.2,0.23,17.0,1.0,0.0,8.0,93.0,attack - Centre-Forward,12600000.0
472,Pierre-Emerick Aubameyang,1,17,25,13,4,8,0,0,8,0,0,3,3,0,1,5,1,1,0,2,0,4,1,0,0,0,0,4,7,28.0,13.0,10.0,4.0,0.77,0.1,24.0,0.0,0.0,9.0,137.0,attack - Centre-Forward,67500000.0
473,David Ospina Ramirez,0,0,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,4500000.0
474,Michael Hefele,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,Defender - Centre-Back,1350000.0
475,Alexander Srloth,0,2,8,2,1,4,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,28.0,13.0,2.0,2.0,0.2,0.2,27.0,1.0,0.0,14.0,164.0,Defender - Centre-Back,360000.0
476,Phil Foden,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17.0,5.0,0.0,1.0,0.0,0.64,6.0,0.0,0.0,2.0,19.0,midfield - Central Midfield,6300000.0
478,Michael Carrick,1,2,4,5,2,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,36.0,2.0,0.0,0.0,0.2,0.04,3.0,0.0,0.0,2.0,17.0,midfield - Defensive Midfield,900000.0
479,Dodi Lukebakio,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.0,30.0,7.0,6.0,0.27,0.21,66.0,2.0,0.0,33.0,311.0,attack - Right Winger,2700000.0
481,Joshua Sims,0,1,1,4,1,3,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.0,6.0,0.0,0.0,0.48,0.05,8.0,0.0,0.0,4.0,51.0,attack - Right Winger,675000.0
482,Aaron Wan-Bissaka,1,8,7,6,2,1,0,0,4,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,7.0,0.0,0.0,0.0,0.06,7.0,1.0,0.0,31.0,101.0,Defender - Right-Back,900000.0
483,Lucas Rodrigues Moura da Silva,0,4,3,2,0,2,0,0,3,1,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,21.0,37.0,1.0,3.0,0.04,0.05,68.0,8.0,0.0,95.0,716.0,attack - Right Winger,25200000.0
484,Patrice Evra,1,5,10,6,1,3,4,0,3,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,24.0,11.0,0.0,0.0,0.04,0.09,9.0,1.0,1.0,9.0,75.0,Defender - Centre-Back,1620000.0
485,Emerson Palmieri dos Santos,1,2,3,6,3,6,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Defender - Left-Back,18000000.0
486,Konstantinos Mavropanos,0,3,3,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0,3.0,0.0,0.0,0.02,0.0,0.0,0.0,1.0,4.0,9.0,Defender - Centre-Back,2700000.0
487,Hamza Choudhury,1,4,1,12,0,4,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,8.0,0.0,1.0,0.01,0.05,2.0,1.0,0.0,12.0,77.0,midfield - Central Midfield,900000.0
491,Jan Bednarek,0,8,2,4,1,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,5.0,1.0,0.0,0.05,0.0,0.0,1.0,0.0,7.0,54.0,Defender - Centre-Back,4500000.0
492,Craig Cathcart,1,7,5,3,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,7.0,0.0,0.0,0.05,0.0,1.0,1.0,0.0,9.0,45.0,Defender - Centre-Back,3150000.0
493,Nathaniel Clyne,0,5,2,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender - Right-Back,18000000.0
495,Ben Hamer,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Goalkeeper,450000.0
497,Jose Ramiro Funes Mori,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,4.0,0.0,0.0,0.03,0.0,0.0,1.0,0.0,0.0,13.0,Defender - Centre-Back,9000000.0
499,Yohan Benalouane,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,1.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,6.0,9.0,Defender - Centre-Back,900000.0
500,Emerson Hyndman,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21.0,1.0,0.0,0.0,0.0,0.05,2.0,0.0,0.0,0.0,17.0,Defender - Left-Back,18000000.0
502,Ben Woodburn,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,midfield - Attacking Midfield,4500000.0
503,Sergio German Romero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,attack - Left Winger,270000.0
505,Vincent Manceau,1,33,47,32,11,22,22,3,20,2,4,4,3,4,0,3,1,2,1,0,0,2,0,2,0,0,3,1,1,28.0,33.0,0.0,0.0,0.02,0.05,46.0,0.0,0.0,71.0,397.0,Defender - Centre-Back,1800000.0
507,Baptiste Santamaria,1,38,23,33,7,26,0,0,19,3,0,2,4,0,2,0,2,0,3,0,3,2,0,0,1,0,6,2,2,22.0,31.0,0.0,0.0,0.01,0.04,37.0,6.0,0.0,56.0,420.0,midfield - Central Midfield,2700000.0
508,Lukas Lerager,1,49,45,44,9,22,10,3,25,6,0,2,1,0,2,1,2,0,1,0,0,0,1,0,0,0,5,6,2,24.0,37.0,3.0,1.0,0.12,0.06,66.0,8.0,0.0,95.0,809.0,midfield - Central Midfield,5400000.0
513,Youssouf Sabaly,1,51,53,47,12,25,32,7,14,5,12,8,1,4,3,6,2,1,2,0,0,1,0,2,0,0,3,5,0,24.0,35.0,0.0,5.0,0.01,0.12,67.0,3.0,0.0,87.0,454.0,Defender - Right-Back,6300000.0
514,Malcom Filipe Silva de Oliveira,1,30,37,37,17,7,6,7,21,0,2,17,3,2,2,2,4,2,1,3,0,2,0,0,0,0,1,12,6,20.0,35.0,12.0,7.0,0.23,0.28,169.0,2.0,0.0,13.0,298.0,attack - Right Winger,40500000.0
517,Romain Thomas,1,30,28,27,0,29,6,3,10,2,0,1,1,0,4,1,0,0,2,0,0,1,0,0,0,0,1,2,2,29.0,28.0,2.0,0.0,0.06,0.01,13.0,5.0,0.0,31.0,148.0,attack - Left Winger,270000.0
518,Gilles Sunu,1,3,5,11,4,3,4,1,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,26.0,20.0,1.0,0.0,0.17,0.07,20.0,4.0,0.0,7.0,100.0,midfield - Attacking Midfield,1350000.0
520,Thomas Mangani,1,48,63,49,13,12,18,5,31,5,2,8,1,2,1,2,5,2,1,0,0,2,0,0,1,0,7,8,4,30.0,35.0,2.0,6.0,0.13,0.17,110.0,7.0,0.0,70.0,716.0,midfield - Central Midfield,3150000.0
521,Pierrick Capelle,1,26,26,19,8,11,6,2,9,1,0,4,3,0,2,0,0,1,3,0,2,2,0,0,0,0,1,7,3,30.0,28.0,2.0,1.0,0.14,0.12,58.0,3.0,0.0,49.0,402.0,midfield - Left Midfield,900000.0
522,Lassana Coulibaly,1,12,12,9,2,4,2,0,5,0,0,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,21.0,20.0,1.0,2.0,0.14,0.07,26.0,1.0,0.0,23.0,208.0,midfield - Central Midfield,1130000.0
523,Angelo Fulgini,1,16,22,23,5,6,6,1,11,3,2,2,0,4,2,3,2,0,2,0,1,1,0,0,1,0,1,3,4,20.0,29.0,3.0,5.0,0.15,0.2,53.0,4.0,0.0,18.0,300.0,midfield - Attacking Midfield,3150000.0
524,Alexandre Mendy,0,4,2,10,4,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,3,23.0,16.0,4.0,0.0,0.6,0.09,13.0,2.0,0.0,5.0,127.0,attack - Centre-Forward,2250000.0
525,Baptiste Guillaume,0,3,1,4,1,0,0,0,3,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,22.0,16.0,1.0,2.0,0.36,0.13,7.0,3.0,0.0,3.0,76.0,attack - Centre-Forward,1800000.0
528,Flavien Tait,1,13,33,24,10,6,4,2,12,5,2,2,1,0,1,2,1,0,1,2,0,0,0,2,1,0,3,4,6,24.0,31.0,4.0,3.0,0.16,0.16,86.0,4.0,1.0,44.0,553.0,midfield - Central Midfield,4500000.0
529,Karl Toko Ekambi,1,19,22,30,8,16,2,2,16,0,0,1,3,0,3,5,1,0,1,2,0,4,0,0,1,0,3,6,11,24.0,37.0,17.0,6.0,0.48,0.12,105.0,4.0,0.0,13.0,353.0,attack - Left Winger,16200000.0
531,Emiliano Sala,1,20,36,26,8,8,2,1,14,1,2,3,3,2,1,2,3,0,0,2,0,1,0,0,0,0,1,6,7,26.0,36.0,12.0,4.0,0.47,0.08,72.0,4.0,1.0,16.0,489.0,attack - Centre-Forward,10800000.0
533,Diego Carlos Santos Silva,1,23,27,17,2,22,2,3,11,2,0,2,2,0,1,0,0,1,3,2,0,1,0,0,0,0,1,3,0,24.0,28.0,1.0,0.0,0.05,0.02,15.0,7.0,1.0,59.0,189.0,Defender - Centre-Back,9000000.0
535,Luiz de Araujo Guimaraes Neto,1,15,29,21,4,12,2,1,8,1,0,3,2,0,0,4,1,0,0,0,0,0,0,0,0,0,5,3,9,28.0,33.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,attack - Right Winger,6300000.0
537,Valentin Rongier,1,44,35,51,16,17,6,5,23,4,2,12,9,2,3,2,3,2,4,0,0,3,0,2,1,0,5,1,1,22.0,32.0,1.0,2.0,0.06,0.06,70.0,1.0,0.0,63.0,614.0,midfield - Central Midfield,8100000.0
539,Alexander Kacaniklic,1,0,5,1,0,2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,28.0,13.0,2.0,2.0,0.2,0.2,27.0,1.0,0.0,14.0,164.0,attack - Right Winger,1350000.0
540,Mike Maignan,1,27,26,20,9,14,2,3,14,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,1,0,22.0,34.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,Goalkeeper,3600000.0
542,Levy Koffi Djidji,1,35,18,26,2,10,8,2,6,0,2,2,1,0,2,0,1,0,2,0,1,0,0,0,0,0,3,0,0,24.0,29.0,0.0,0.0,0.01,0.03,23.0,2.0,0.0,56.0,246.0,Defender - Centre-Back,3150000.0
